image_path,ref_mask_path,gt_path,condition,condition_id,lat,lon,invalid_mask
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000041_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000041_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000041_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000041_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000096_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000096_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000096_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000096_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000122_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000122_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000122_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000122_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000135_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000135_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000135_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000135_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000154_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000154_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000154_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000154_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000168_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000168_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000168_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000168_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000180_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000180_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000180_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000180_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000191_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000191_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000191_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000191_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000203_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000203_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000203_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000203_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0475/GOPR0475_frame_000215_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000215_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000215_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0475/GOPR0475_frame_000215_gt_invIds.png
/home/rvl1421/Datasets/ACDC/rgb_anon/fog/train/GOPR0476/GOPR0476_frame_000001_rgb_anon.png,/home/rvl1421/Datasets/ACDC/gt_trainval_ref/gt/fog/train_ref/GOPR0476/GOPR0476_frame_000001_gt_ref_labelColor.png,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0476/GOPR0476_frame_000001_gt_labelTrainIds.png,fog,0,0.0,0.0,/home/rvl1421/Datasets/ACDC/gt_trainval/gt/fog/train/GOPR0476/GOPR0476_frame_000001_gt_invIds.png
